"id","name","min_year","max_year","min_pitch","max_pitch","min_width","max_width","bbr_material_id"
1,"Clay tiles",1800,2100,25,NULL,NULL,NULL,"{5}"
2,"Slate shingles",1800,1930,20,NULL,NULL,NULL,"{90}"
3,"Concrete tiles",1910,2100,20,NULL,NULL,NULL,"{4}"
4,"Eternit tile with asbestos",1930,2100,25,NULL,NULL,NULL,"{3}"
5,"Zinc",1800,1930,5,NULL,NULL,NULL,"{6}"
6,"Roofing felt",1930,2100,1,NULL,NULL,NULL,"{1,2}"
7,"Eternit tile without asbestos",1930,2100,25,NULL,NULL,NULL,"{10}"
8,"Plastic roof",1970,2100,1,NULL,NULL,NULL,"{11}"
9,"Glass",1920,2100,12,NULL,NULL,NULL,"{12}"
10,"Green roof",1970,2100,1,NULL,NULL,NULL,"{20}"
11,"Thatched roof",1000,1900,10,NULL,NULL,NULL,"{7}"
